"","GSM335197.CEL","GSM335198.CEL","GSM335199.CEL","ent_gene","symbol_limma"
"221704_s_at",5.78960001865309,5.25994230018115,5.5213154916671,"79720","VPS37B"
"202852_s_at",4.87006081404107,4.95427015988579,4.82380970247746,"79719","AAGAB"
"221428_s_at",5.01268847532159,4.88310969598638,4.93422937087106,"79718","TBL1XR1"
"218341_at",6.40404387294829,6.39326084280678,6.34997091051773,"79717","PPCS"
"89476_r_at",6.80947955835884,6.94906013927672,7.13031279580754,"79716","NPEPL1"
"218722_s_at",6.65402283739508,6.74565163428599,6.74565163428599,"79714","CCDC51"
"219690_at",5.74431140415926,5.6553157827038,6.03949525107794,"79713","IGFLR1"
"219770_at",7.28620577175806,6.93740098634272,7.05518336162818,"79712","GTDC1"
"219038_at",4.88315676230134,4.65758025575211,4.84580049931286,"79710","MORC4"
"218473_s_at",6.15645077602449,6.26878247945211,6.49034781667242,"79709","COLGALT1"
"218754_at",7.33971108486868,7.646144637488,7.29228579501508,"79707","NOL9"
"53071_s_at",5.24009836386048,4.69626408633065,4.26048109303967,"79701","OGFOD3"
"219526_at",5.32405299056296,5.24621074861341,5.22044378954107,"79697","RIOX1"
"218647_s_at",6.37606619472504,5.98062882549564,5.8710639775558,"79693","YRDC"
"219376_at",4.23589455473908,4.00375498386651,3.98536272302993,"79692","ZNF322"
"219178_at",4.51093695443024,4.36256041949687,4.38924174084302,"79691","QTRT2"
"221208_s_at",6.62628350305123,6.01746443624065,5.48600080260327,"79684","MSANTD2"
"219247_s_at",7.98651129216678,7.68223777342559,7.67593018766364,"79683","ZDHHC14"
"218883_s_at",4.56160886542848,4.78859360434435,4.65292216931606,"79682","CENPU"
"218781_at",6.09816082797351,5.68008944646879,5.63222337031154,"79677","SMC6"
"219245_s_at",5.13708990231765,5.27862338160468,5.42253445514378,"79676","OGFOD2"
"219002_at",7.11900022942391,7.00070376899777,6.71119559893222,"79675","FASTKD1"
"219765_at",5.05624838971193,4.56114890612713,4.38368585273904,"79673","ZNF329"
"218210_at",7.77227872447314,7.33070869875535,7.20045191066298,"79672","FN3KRP"
"220933_s_at",6.81138044618986,6.52092806073011,6.44017531169888,"79670","TUT7"
"219033_at",5.14350056043575,5.45798509244906,5.67641318634136,"79668","PARP8"
"219871_at",5.19439523722174,5.26113766703013,4.81685483753946,"79667","KLF3-AS1"
"218640_s_at",5.51886049139707,5.29224223385614,5.28812847696808,"79666","PLEKHF2"
"218277_s_at",7.36491371481661,6.72645464023589,6.37735830275778,"79665","DHX40"
"218713_at",5.67358753954775,5.02089708606275,4.91545428115062,"79664","ICE2"
"219284_at",5.77293461600769,5.33008371834629,5.45621816409177,"79663","HSPBAP1"
"219469_at",5.30934318498237,5.30858982388272,5.29426887074301,"79659","DYNC2H1"
"219431_at",4.77834054562029,4.80414966296749,4.87872282670414,"79658","ARHGAP10"
"218842_at",4.79528956585092,4.33290588509046,4.44383628629315,"79657","RPAP3"
"219670_at",5.09227399455356,5.64877011163869,5.65750127696131,"79656","BEND5"
"218632_at",6.70491575390345,6.52106113021349,6.42419307792056,"79654","HECTD3"
"219315_s_at",6.04930252938517,6.15228288485088,6.23160888828899,"79652","TMEM204"
"219202_at",6.52725748646112,6.85571727708471,6.71185161488034,"79651","RHBDF2"
"202138_x_at",8.27114252396674,7.9258697701452,7.96322110468885,"7965","AIMP2"
"219626_at",5.36812003505454,5.29128838657475,5.35969970909704,"79649","MAP7D3"
"217893_s_at",8.19681082645066,7.89736539952126,7.7986050260402,"79647","AKIRIN1"
"218433_at",6.10891303688447,6.16706091717433,6.20846441846599,"79646","PANK3"
"218394_at",8.89085319132468,8.15378285031743,8.25293774177129,"79641","ROGDI"
"219427_at",4.95818929890912,4.55285378214498,4.50672810336214,"79633","FAT4"
"220150_s_at",6.16875070153282,6.42864195478596,6.22034601630459,"79632","FAM184A"
"218973_at",5.89629404391413,5.86940749675518,5.88334108661131,"79631","EFL1"
"219506_at",6.71563283063126,7.04873271609728,6.97865348643621,"79630","C1orf54"
"205441_at",5.79121343003245,5.9279906416771,6.07160295598766,"79629","OCEL1"
"219710_at",6.57728750438674,5.55161830388016,5.71108908530223,"79628","SH3TC2"
"219582_at",5.30455084316954,5.35552790346129,5.33744292784584,"79627","OGFRL1"
"219747_at",4.95216514405134,4.72968467016628,4.91968646586365,"79625","NDNF"
"218195_at",4.43110146233897,4.47985783110723,4.22712064310881,"79624","ARMT1"
"218493_at",6.66887748728362,7.57867882991428,7.30677312636688,"79622","SNRNP25"
"215040_at",6.54362914529216,6.66471819405497,6.78148155589738,"79621","RNASEH2B"
"219269_at",8.50050905853598,8.6340471420531,8.62373452448873,"79618","HMBOX1"
"219378_at",8.0227011747244,7.68919359744004,7.38752092720898,"79612","NAA16"
"219616_at",4.80105279625112,5.03512702002585,5.16973466079046,"79611","ACSS3"
"218940_at",4.73566058042754,4.47927491129927,4.2515183337498,"79609","VCPKMT"
"220282_at",4.71927948501726,5.02187064708401,5.17306320174971,"79608","RIC3"
"219225_at",7.58980601596009,7.80321426872446,7.86673529672598,"79605","PGBD5"
"201346_at",10.4274024751522,9.82054457864233,9.83508282794441,"79602","ADIPOR2"
"218584_at",6.47578327590537,6.58267034630894,6.42591884203332,"79600","TCTN1"
"219886_at",4.40054562300879,4.06950397830492,4.04070776881506,"79598","CEP97"
"219303_at",4.99132657628427,4.71375041010262,4.6167830767886,"79596","RNF219"
"220367_s_at",7.31713201218007,7.02230383186652,7.14105538862997,"79595","SAP130"
"55662_at",4.40867309468609,4.18608475544925,4.37221963188387,"79591","ARMH3"
"218270_at",7.67483057328512,7.42700197317452,7.33867085520475,"79590","MRPL24"
"218153_at",6.27877318620212,5.77308750877441,5.86448807779585,"79587","CARS2"
"202175_at",7.67955891187509,7.83271426944252,7.83271426944252,"79586","CHPF"
"64900_at",4.45000318834755,4.26453335270756,4.1851961201585,"79583","TMEM231"
"219109_at",7.27915514124679,7.10021187969369,6.62055583616716,"79582","SPAG16"
"218151_x_at",5.93033065146607,6.00209141219453,5.97084067364261,"79581","SLC52A2"
"218578_at",4.94607666273803,4.78922514020447,4.58973104628397,"79577","CDC73"
"219481_at",6.36804739245344,6.05323831186386,5.96193811801032,"79573","TTC13"
"212297_at",4.05732249037168,4.08097379957493,3.92980400696173,"79572","ATP13A3"
"218912_at",6.50537426460168,6.05796957676539,6.38210046139397,"79571","GCC1"
"205231_s_at",5.45852368714779,4.94351368331783,4.94351368331783,"7957","EPM2A"
"219176_at",5.59487846996197,5.93418939709439,5.74450937147438,"79568","MAIP1"
"45749_at",8.36766212483447,8.81888093444017,8.94123362563544,"79567","RIPOR1"
"218204_s_at",5.0768787972236,5.06552342212677,4.9964754390761,"79443","FYCO1"
"210054_at",5.1135008577155,4.74596863271166,4.69207560056078,"79441","HAUS3"
"221866_at",7.24303958042435,6.97178005040216,7.15276193795502,"7942","TFEB"
"218130_at",5.67611158450328,5.5878601083025,5.39207217884764,"79415","CYBC1"
"219346_at",4.24841654129862,4.24732238824701,4.45069682747206,"79414","LRFN3"
"206214_at",3.73935873269004,4.29231565535693,4.15188298946961,"7941","PLA2G7"
"210629_x_at",6.80157156263726,7.38410865290404,7.38273167036763,"7940","LST1"
"205428_s_at",4.99229966895822,5.3439919660654,5.45651647841446,"794","CALB2"
"221240_s_at",5.90903702417647,6.24289437566641,6.34524348147152,"79369","B3GNT4"
"221238_at",4.47126523833709,4.49914591092039,4.44602959981849,"79366","HMGN5"
"221530_s_at",9.63937090364124,9.23738312464791,8.91327448348772,"79365","BHLHE41"
"220963_s_at",5.49731917421047,5.61381898887092,5.51010623629044,"79363","CPLANE2"
"217081_at",4.00571864248407,4.01313469588832,4.29689976192901,"7932","OR2H2"
"219001_s_at",5.0646215566207,4.79927936438684,4.69929597251998,"79269","DCAF10"
"213540_at",6.7163931562649,6.73775440011515,6.69440159958179,"7923","HSD17B8"
"202667_s_at",5.72722235309693,5.30127248973354,5.7355837674231,"7922","SLC39A7"
"217795_s_at",7.32064677522947,7.07473907996287,7.16497546186982,"79188","TMEM43"
"221196_x_at",4.82906936713619,4.66498328250836,4.45886187630698,"79184","BRCC3"
"219633_at",5.08987262789527,4.92734984060202,5.00956676912338,"79183","TTPAL"
"217992_s_at",5.49468302813563,6.28084086591211,6.13726096482585,"79180","EFHD2"
"218540_at",7.65059882531295,7.50519415650244,7.59288283130577,"79178","THTPA"
"219089_s_at",6.25274621275591,6.31394174909755,6.1965024357713,"79177","ZNF576"
"218358_at",8.16096344326575,7.69621222327636,7.64550726337524,"79174","CRELD2"
"219472_at",4.70285679629622,4.73484102147277,4.76322171041102,"79172","CENPO"
"205740_s_at",6.76019158863186,6.42221098169712,6.42788334460058,"79171","RBM42"
"213318_s_at",8.42921443320873,8.5180952502992,8.37010132859767,"7917","BAG6"
"219063_at",5.74013656844094,5.63844981648741,5.72849407198558,"79169","C1orf35"
"214561_at",4.50325041831606,4.52889725581105,4.53456701943718,"79166","LILRP2"
"204215_at",5.75855173207906,6.05687216665175,5.93849657301258,"79161","TMEM243"
"212081_x_at",7.04164195547597,7.01167848066919,6.97441701120282,"7916","PRRC2A"
"219324_at",5.88100948257957,6.20114184950054,6.12568373408085,"79159","NOL12"
"212959_s_at",6.42159913662662,6.88176693522546,6.68259728288303,"79158","GNPTAB"
"221192_x_at",7.28957573207696,7.06263820931668,7.13567980508821,"79157","MFSD11"
"48531_at",6.05126223827748,5.94229417828044,6.15033829002178,"79155","TNIP2"
"218756_s_at",4.53362899956382,4.84233543974939,4.86616848165823,"79154","DHRS11"
"219429_at",9.74407435763383,8.31926253272008,8.46873434572901,"79152","FA2H"
"203608_at",5.85371948528568,6.24601685061378,6.11304507871534,"7915","ALDH5A1"
"219904_at",4.93439045324374,5.05618402515903,5.10358806321344,"79149","ZSCAN5A"
"218642_s_at",6.95457465246387,7.23329243083201,6.93987996458786,"79145","CHCHD7"
"218010_x_at",6.51616844015164,6.32186240766993,6.33315577401632,"79144","PPDPF"
"219402_s_at",6.11957455181217,6.20796402948737,5.85685006058463,"79139","DERL1"
"222129_at",5.58853995117962,5.67699248506315,5.59015652655599,"79137","RETREG2"
"221620_s_at",7.12149193711024,7.96137924286473,7.69769244276011,"79135","APOO"
"219253_at",4.18567135923493,4.09248483839906,4.11950328102414,"79134","TMEM185B"
"200934_at",7.98555141499946,7.45388837478877,7.21502123879439,"7913","DEK"
"217808_s_at",5.02062623019826,5.44367261127421,5.56856656310651,"79109","MAPKAP1"
"218750_at",4.94878881790031,4.66889798298068,4.53873969345176,"79101","TAF1D"
"203257_s_at",7.3664208358769,7.73357332389925,7.91407715741677,"79096","C11orf49"
"222166_at",4.31095592690991,4.218926653749,4.44179353774126,"79095","C9orf16"
"218945_at",5.51278664451704,5.5409225038637,5.46107410596118,"79091","METTL22"
"204985_s_at",6.73883721085286,6.27699226905416,6.60463958331613,"79090","TRAPPC6A"
"218419_s_at",5.4331125232338,5.64041634020077,5.48239827823132,"79089","TMUB2"
"205964_at",4.14659315658517,4.00448687878994,3.97598099637672,"79088","ZNF426"
"219097_x_at",7.32327245998582,7.26202841131758,7.28778144718467,"79086","SMIM7"
"201421_s_at",6.24384002827739,6.19954529623675,6.24392709323038,"79084","WDR77"
"218211_s_at",5.99677061901303,6.21198247438809,6.34068282828515,"79083","MLPH"
"203119_at",6.50217269967901,6.5086971231853,6.43951107767812,"79080","CCDC86"
"219406_at",6.34876221051682,6.06353521459299,5.87265417184934,"79078","C1orf50"
"218069_at",7.06847371274864,7.2773375292115,7.17289444930871,"79077","DCTPP1"
"219000_s_at",4.84732463398093,4.82459773125694,4.81178005797605,"79075","DSCC1"
"219200_at",5.71330808383811,5.06770887336285,4.97399800585968,"79072","FASTKD3"
"204256_at",5.98565123463218,4.42751403369934,4.38994019613374,"79071","ELOVL6"
"219479_at",4.55446300565351,4.66277181415039,4.52174490420605,"79070","POGLUT2"
"209702_at",9.2962500024712,9.30608323950517,9.12566229407769,"79068","FTO"
"202492_at",6.53439055230128,6.39531026278333,6.51714373288543,"79065","ATG9A"
"203545_at",7.25832181167283,6.99110270045752,7.15658903648427,"79053","ALG8"
"208872_s_at",7.79630511134181,8.0386482970263,8.09532154024365,"7905","REEP5"
"218265_at",5.3311578787413,5.06607848318862,4.79975098960215,"79048","SECISBP2"
"218553_s_at",6.06987744768781,6.10480319021359,6.34420418756983,"79047","KCTD15"
"218132_s_at",6.42330893043442,6.16706091717433,6.08633499259931,"79042","TSEN34"
"219111_s_at",6.39885083027458,6.31751175010135,6.38932165101938,"79039","DDX54"
"219929_s_at",5.20363327400955,5.26748045267615,5.43247296766641,"79038","ZFYVE21"
"200076_s_at",7.72948726870194,7.49070580573627,7.42051118089942,"79036","KXD1"
"218903_s_at",6.66592156486779,6.69968513147093,6.75720319943666,"79035","NABP2"
"47083_at",7.04566234463835,7.02248606083777,7.09621574707849,"79034","C7orf26"
"208973_at",6.33470947857968,6.40413448056869,6.37931904540492,"79033","ERI3"
"218933_at",4.7032450191645,4.6745717845294,4.65708002596382,"79029","SPATA5L1"
"211986_at",8.08622868517406,7.91691859390548,8.07431396009805,"79026","AHNAK"
