"","GSM3242250","GSM3242251","GSM3242252","GSM3242253","GSM3242254","GSM3242255","GSM3242256","GSM3242257","ent_gene","symbol_limma"
"ILMN_1669669",1.64504168576509,1.62247783534712,1.87349585323219,1.90474331166164,1.76905284046545,1.46772329435063,1.55546882478892,1.5606953597963,"56888","KCMF1"
"ILMN_2360291",1.94245993442768,2.0804554979553,2.067828700504,2.03198643799705,1.90069025911272,2.17848259139493,2.0854758110682,2.11614850826409,"56886","UGGT1"
"ILMN_2349138",2.15832860483954,0.381086453172299,0.32195607637559,0.440817963166431,0.310930038728068,0.349333472229882,0.671765975896888,0.30868452553419,"56882","CDC42SE1"
"ILMN_3244935",2.26188129318406,2.17984787383951,2.35654281761057,2.34767924320899,2.28131849389597,2.58291637516783,2.23738816986138,2.28818465482493,"5687","PSMA6"
"ILMN_1759952",3.4448140545086,3.52120208942147,3.47502523759375,3.27246976301743,3.3508268375013,3.60049063789697,3.59231380872788,3.5036953619242,"5686","PSMA5"
"ILMN_2150000",4.06057631863155,3.8948561831528,3.98764546321103,4.02234555597299,4.02314285162766,3.94160687258525,4.08189407542934,3.99451670337044,"56851","EMC7"
"ILMN_1761176",2.88254902893274,2.9208353750237,3.27029539082548,3.29535951398847,3.01108680503037,3.07410551928621,2.8029669018025,2.78795093405102,"56850","GRIPAP1"
"ILMN_1682098",2.07845759544218,2.15812850139244,2.22086247416709,2.19065843647263,2.067828700504,2.22717173439475,2.22909645462623,2.13606511726802,"5685","PSMA4"
"ILMN_1753525",3.71556821280311,3.73368382388226,3.68197798917843,3.41288788081391,3.58094031656621,3.59883986440747,4.20847503397312,3.98922591233825,"56849","TCEAL7"
"ILMN_1729281",3.77705643683462,3.95804948707773,4.16770788129309,4.0597133733813,4.03633248738744,4.11142245724881,3.92141328871442,3.83024530263337,"56848","SPHK2"
"ILMN_2318011",1.34328683498721,1.39547631418133,1.40539072630093,1.29016281732081,1.45578039444365,1.50017210679879,1.46497063817868,1.41174272741258,"5684","PSMA3"
"ILMN_1804332",3.77124528619962,3.89627943848042,4.05411185507353,3.95865054315489,4.03782737103801,4.02887301520686,3.68438530359165,3.66666846227645,"56834","GPR137"
"ILMN_2058512",2.12871261048903,2.11926009280604,2.04987809490071,2.00721680315497,2.05243447492426,2.07823157270975,2.35307522533366,2.19928969512666,"5683","PSMA2"
"ILMN_1667068",2.123394872582,2.29480323110325,1.82760919243231,1.84966448384168,1.94473011620909,1.56178161301679,1.72431721854289,1.59149226149663,"56829","ZC3HAV1"
"ILMN_1709611",3.37160028627914,3.33412315759647,3.39319461979241,3.4918440453967,3.43124118336468,3.49877750019267,3.26263367990458,3.23174957222659,"5682","PSMA1"
"ILMN_1700770",0.452125702377297,0.366254064726365,0.248830138185891,0.327861246329458,0.42626788216274,0.406421441994245,0.646522623012305,0.436293356391911,"5681","PSKH1"
"ILMN_1764795",2.63912641699069,2.27158259151365,2.70002977099278,2.66245858201872,2.56558341742559,2.07160256601596,1.79376489995022,1.81262292352821,"56776","FMN2"
"ILMN_1740430",0.795074328835992,0.612689071162811,0.72313289066833,0.459458712111703,0.579581299072125,0.823728277349688,0.624193216608023,0.494467983274635,"56731","SLC2A4RG"
"ILMN_2384745",0.288943202825046,0.353912006971285,0.289654415047711,0.200867922541269,0.254695676969682,0.425653499647951,0.238091570083788,0.357943113195752,"5672","PSG4"
"ILMN_1693985",1.6364808487772,1.57465407347591,2.04377414207894,2.14276654048487,1.90049499524227,2.19296252855671,1.07503236158047,1.09623438789441,"56704","JPH1"
"ILMN_2148459",3.99527776446048,4.27214237487523,3.00895718352239,3.54418698859512,3.75534102819317,3.57565615379163,3.77124528619962,3.84546167547227,"567","B2M"
"ILMN_1764329",0.509188565671392,0.396490117461097,0.362261544740644,0.272410298189041,0.357256976914511,0.277409344104799,0.487829278902597,0.540174253026701,"56683","CFAP298"
"ILMN_1657697",1.86256482242812,2.13317617880404,1.81187904487896,1.92695343662382,2.12047700219787,1.87193753700288,2.12181916046809,2.21069044852193,"56681","SAR1A"
"ILMN_1759563",4.13396271111144,3.99527776446048,4.42860625261502,4.34777312653244,4.36250096318995,4.26401928811275,3.25616661316921,3.52813737480346,"56675","NRIP3"
"ILMN_2100815",3.59077225818437,3.53366120805472,3.49946269550147,3.51917336241258,3.55567365918779,3.56904937583405,3.61275208005311,3.49535651163767,"56674","TMEM9B"
"ILMN_2359029",1.67286126285441,1.60645694999798,1.79216525944857,1.58043944167821,1.71906803688556,1.90298019975803,1.71958224179275,1.57385642454465,"56672","AKIP1"
"ILMN_1694810",3.0082787272553,3.16081611356577,3.42437068375161,3.43699794131562,3.33793873881358,3.23546357610899,2.24628893127718,2.39731631065034,"56666","PANX2"
"ILMN_1711988",3.5585613254595,3.47016813169836,3.77887043930973,3.64826311889312,3.62654602586874,4.00926287892929,2.88805854291906,2.99993152059031,"56660","KCNK12"
"ILMN_1659352",0.763943707963444,0.775827103844575,0.942384217681647,0.859630801193106,0.895417999566171,1.13833182973354,0.993849856044253,1.25383331275149,"56659","KCNK13"
"ILMN_2413517",0.640078218400572,0.494822198996946,0.649729559410366,0.52288494607617,0.641145623029331,0.607204630793199,0.8027222642873,0.776456736898078,"56658","TRIM39"
"ILMN_1660063",4.09754665357582,4.11471793482498,4.15875695844427,4.07574398333921,4.26715633555557,4.28544870606343,4.19291181673364,4.15807177914124,"56655","POLE4"
"ILMN_2199313",1.55020695400834,1.44604793828282,1.88248297712976,1.82962858770101,1.64844264990406,1.53688044304757,1.32220855332891,1.28652664962905,"56654","NPDC1"
"ILMN_1701243",0.937642964490153,0.738540968065849,0.921759475703463,0.70274709435077,0.801498503939026,0.79858422123002,0.900279530469157,0.909965688932453,"56652","TWNK"
"ILMN_1710326",5.43872057864516,5.55701242149089,4.63030920920673,4.43101814474034,4.88110292068717,5.10781511738942,5.75089573235778,5.67178994930889,"56650","CLDND1"
"ILMN_1706021",0.517984639658469,0.374737416091413,0.36018603654633,0.466443596866149,0.361998763287511,0.545713838816977,0.53463285621163,0.495997512925525,"56649","TMPRSS4"
"ILMN_1735151",1.42712037860527,1.31291381662909,1.60666744780812,1.67945864316425,1.6119770052043,1.58553934941796,1.5259551224167,1.55358392011835,"56648","EIF5A2"
