"","GSM525014.CEL","GSM525015.CEL","GSM525016.CEL","ent_gene","symbol_limma"
"205241_at",7.73612979729502,7.25693173913394,7.42772056473795,"9997","SCO2"
"222201_s_at",7.25695876621017,7.06056447169892,7.40837759251417,"9994","CASP8AP2"
"214198_s_at",8.30902688641849,8.32589642122022,8.23075489723484,"9993","DGCR2"
"224617_at",8.11125951708961,8.50137638793674,8.41812511717923,"9991","PTBP3"
"226741_at",9.29277130532678,9.06082595146992,9.55933367109968,"9990","SLC12A6"
"201131_s_at",6.34769755285306,5.83131461806734,7.5674934565173,"999","CDH1"
"201594_s_at",7.63278356467587,7.80846451384603,8.2504030063638,"9989","PPP4R1"
"203301_s_at",8.24395716082323,8.39929038711154,8.45491784372631,"9988","DMTF1"
"209068_at",8.97888828319339,9.20111145597335,9.22112668282705,"9987","HNRNPDL"
"205333_s_at",6.32916477355361,5.96873173754295,6.36778551058732,"9986","RCE1"
"218599_at",6.87412654673071,6.93952908693813,6.87981832934193,"9985","REC8"
"204064_at",6.98873643766069,7.29742805800604,8.02278964459327,"9984","THOC1"
"205248_at",5.3628157588593,5.60040110496099,5.58061274373872,"9980","DOP1B"
"210232_at",10.1086004835675,9.92703767720375,9.19453158052325,"998","CDC42"
"218117_at",10.6041615118303,10.5729861433663,11.1471592348379,"9978","RBX1"
"209732_at",6.38386126478849,7.55838892322658,6.95891640243133,"9976","CLEC2B"
"209750_at",6.56927426565335,6.91549453867324,6.97101119579419,"9975","NR1D2"
"203522_at",7.62775644368066,7.63449296462974,7.60508606494587,"9973","CCS"
"1559064_at",5.35863861816665,5.159317736341,5.21303786231821,"9972","NUP153"
"212540_at",8.51078994856625,8.52464027702275,8.70956721183741,"997","CDC34"
"244611_at",3.53037465267499,3.56018217616906,3.76123837495639,"9969","MED13"
"203506_s_at",5.90426028193655,5.80765635484351,6.41740565743207,"9968","MED12"
"222440_s_at",9.20989044933341,9.15888428191264,9.42109358987964,"9967","THRAP3"
"229242_at",5.66506736720412,5.38608725072183,5.16591715845283,"9966","TNFSF15"
"211572_s_at",4.566260244075,4.67386957167719,4.56343533265921,"9962","SLC23A2"
"202180_s_at",6.85045363527816,6.70706930678031,7.67490182742167,"9961","MVP"
"221654_s_at",7.64683814559942,7.72085049433928,7.75842999692106,"9960","USP3"
"217880_at",8.73384165603814,8.62398907251285,8.53919510486872,"996","CDC27"
"205466_s_at",6.57558210301366,6.65957103500029,5.77241379828028,"9957","HS3ST1"
"219697_at",8.63135454525972,7.867875242213,8.120551463336,"9956","HS3ST2"
"219985_at",3.91237822928191,4.00721497168351,3.74367146632928,"9955","HS3ST3A1"
"1561908_a_at",5.33661813039761,5.30115662709751,4.99675028687575,"9953","HS3ST3B1"
"228206_at",7.5298097467033,7.17182056693884,7.1331930854961,"9951","HS3ST4"
"218241_at",8.35660268530497,8.24374069656731,8.62015969257263,"9950","GOLGA5"
"205167_s_at",4.01979208556799,4.0089405414907,4.30356821612847,"995","CDC25C"
"204976_s_at",6.22516699175516,6.12113515226072,6.23631546013382,"9949","AMMECR1"
"240282_at",5.79918407532484,5.90008993594365,5.98261567564565,"9948","WDR1"
"226151_x_at",10.002245522127,10.0473902608708,9.88009192375029,"9946","CRYZL1"
"205100_at",7.24092409920913,6.80249341631728,7.54840849466921,"9945","GFPT2"
"202696_at",7.80971538401845,7.8753080609866,8.2506680417499,"9943","OXSR1"
"205521_at",7.26495472912032,7.81037302922544,7.84449504602238,"9941","EXOG"
"201853_s_at",7.84916081617374,7.930105013909,8.38083566760952,"994","CDC25B"
"217857_s_at",7.09826632525359,7.517500974113,7.10675300092935,"9939","RBM8A"
"38149_at",5.94143665823624,5.92187779869391,6.60007086076991,"9938","ARHGAP25"
"209804_at",6.77387249010472,6.75528374470902,7.13878598306247,"9937","DCLRE1A"
"222670_s_at",7.17297855317395,7.48619278096441,6.79176445052561,"9935","MAFB"
"206637_at",5.51122654029284,6.06767600435063,4.80181468815273,"9934","P2RY14"
"203712_at",7.51295547326452,7.72882042631338,7.7728431341419,"9933","PUM3"
"240486_at",4.69399626667036,5.27985270256168,5.32795614573657,"9931","HELZ"
"201751_at",8.77721704691252,8.75818083635618,8.88289976566437,"9929","JOSD1"
"206364_at",4.31818224518538,4.31595463235098,4.69643072190916,"9928","KIF14"
"216205_s_at",6.04281690003856,6.69948148554475,6.58609151629868,"9927","MFN2"
"227476_at",9.47176834485559,9.37093091943705,9.55308320155689,"9926","LPGAT1"
"203026_at",7.44586787968975,7.36238517709006,7.88522736092332,"9925","ZBTB5"
"203117_s_at",6.14770764715734,6.57072653055079,7.19221081401636,"9924","PAN2"
"203959_s_at",7.15502914003726,6.88319628593271,7.4419369738769,"9923","ZBTB40"
